name,domain,city,status,pages_checked,address_candidates,next_action
Prospection,prospection.com,Sydney,no_candidate_found,https://www.prospection.com/,,Verify candidate text on the cited first-party page before geocoding.
Acredia,acredia.com.au,Sydney,no_candidate_found,https://acredia.au/ | https://acredia.au/contact-us/ | https://acredia.au/locations | https://acredia.au/support,,Verify candidate text on the cited first-party page before geocoding.
Meld Gold,meld.gold,Sydney,no_candidate_found,https://www.meld.gold/ | https://www.meld.gold/contact | https://www.meld.gold/contact-us | https://www.meld.gold/locations | https://www.meld.gold/support,,Verify candidate text on the cited first-party page before geocoding.
Moshi,moshi.ai,Melbourne,no_candidate_found,https://moshi.ai/ | https://moshi.ai/contact | https://moshi.ai/contact-us | https://moshi.ai/locations | https://moshi.ai/support,,Verify candidate text on the cited first-party page before geocoding.
Kambr,kambr.com,Melbourne,no_candidate_found,https://amadeus.com/en/airlines/products/segment-revenue-management-flex/ | https://amadeus.com/en/airlines/products/segment-revenue-management-flex/contact | https://amadeus.com/en/airlines/products/segment-revenue-management-flex/contact-us | https://amadeus.com/en/airlines/products/segment-revenue-management-flex/locations | https://amadeus.com/en/airlines/products/segment-revenue-management-flex/support,,Verify candidate text on the cited first-party page before geocoding.
CancerAid,canceraid.com,Sydney,address_candidate_needs_verification,https://osarahealth.com/ | https://osarahealth.com/contact | https://osarahealth.com/contact-us | https://osarahealth.com/locations | https://osarahealth.com/support,"4 Cornwallis St, Eveleigh, NSW 2015",Verify candidate text on the cited first-party page before geocoding.
Actionstep,actionstep.com,Auckland,no_candidate_found,https://www.actionstep.com/ | https://www.actionstep.com/contact/ | https://www.actionstep.com/contact-us-success/ | https://www.actionstep.com/locations/ | https://actionstep.freshdesk.com/support/home/,,Verify candidate text on the cited first-party page before geocoding.
RocketBoots,rocketboots.com,Brisbane,address_candidate_needs_verification,https://www.rocketboots.com/ | https://www.rocketboots.com/contact | https://www.rocketboots.com/contact-us | https://www.rocketboots.com/locations | https://www.rocketboots.com/support,"189 Kent Street, Sydney NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Koda Capital,kodacapital.com,Sydney,address_candidate_needs_verification,https://kodacapital.com/ | https://kodacapital.com/contact/ | https://kodacapital.com/contact-us/ | https://kodacapital.com/locations | https://kodacapital.com/unlisted/supporting-a-non-profits-mission/,20 Bond Street Sydney NSW 2000 | 385 Bourke Street Melbourne VIC 3000 | 71 Eagle St Brisbane QLD 4000 | 66 Kings Park Road West Perth WA 6005,Verify candidate text on the cited first-party page before geocoding.
Coder Academy,coderacademy.edu.au,Brisbane,address_candidate_needs_verification,https://coderacademy.edu.au/ | https://coderacademy.edu.au/#openConnect | https://coderacademy.edu.au/contact-us | https://coderacademy.edu.au/locations | https://coderacademy.edu.au/support,"120 Spencer St Melbourne VIC 3000 | 7 Kelly St Ultimo NSW 2007 | 119 Charlotte Street, Brisbane City QLD 4000",Verify candidate text on the cited first-party page before geocoding.
Cover More,covermore.com.au,Sydney,no_candidate_found,https://www.covermore.com.au/ | https://www.covermore.com.au/contact | https://www.covermore.com.au/contact-us | https://www.covermore.com.au/locations | https://www.covermore.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Siteassist,siteassist.co,Sydney,no_candidate_found,https://www.siteassist.com/ | https://www.siteassist.com/contact | https://www.siteassist.com/contact-us | https://www.siteassist.com/locations | https://www.siteassist.com/support,,Verify candidate text on the cited first-party page before geocoding.
Paydirt,paydirt.com.au,Brisbane,no_candidate_found,https://www.paydirt.com.au/ | https://www.paydirt.com.au/contact | https://www.paydirt.com.au/contact-us/ | https://www.paydirt.com.au/locations | https://www.paydirt.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Serenity Forge,serenityforge.com,Brisbane,no_candidate_found,https://serenityforge.com/ | https://serenityforge.com/contact | https://serenityforge.com/contact-us | https://serenityforge.com/locations | https://serenityforge.com/support,,Verify candidate text on the cited first-party page before geocoding.
Neto,netohq.com,Brisbane,address_candidate_needs_verification,https://netohq.com/ | https://netohq.com/contact | https://netohq.com/contact-us | https://netohq.com/locations | https://netohq.com/support,"1/30 Chancellor Village Boulevard, Sippy Downs, QLD 4556",Verify candidate text on the cited first-party page before geocoding.
Scape Australia,scape.com.au,Brisbane,address_candidate_needs_verification,https://www.scape.com.au/ | https://www.scape.com.au/contact-us | https://www.scape.com.au/locations/ | https://www.scape.com.au/scape-stories/international-students/support-services-for-students-studying-in-australia/,"19 Franklin St, Adelaide SA 5000 | 20 Coglin St, Adelaide SA 5000 | 2 George Street, Brisbane QLD 4000 | 66 Ernest Street, South Brisbane, QLD 4101 | 164 Melbourne St, South Brisbane QLD Phone",Verify candidate text on the cited first-party page before geocoding.
Fareharbor AU,fareharbor.com,Gold Coast,no_candidate_found,https://fareharbor.com/ | https://fareharbor.com/contact | https://fareharbor.com/contact-us | https://fareharbor.com/locations | https://fareharbor.com/support/,,Verify candidate text on the cited first-party page before geocoding.
Machinify AU,machinify.com,Sydney,no_candidate_found,https://www.machinify.com/ | https://www.machinify.com/contact | https://www.machinify.com/contact-us | https://www.machinify.com/locations | https://www.machinify.com/support,,Verify candidate text on the cited first-party page before geocoding.
Arpa,arpa.com.au,Sydney,no_candidate_found,https://arpa.com.au/ | https://arpa.com.au/contact/ | https://arpa.com.au/contact-us | https://arpa.com.au/events/locations/ | https://arpa.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Mimecast AU,mimecast.com,Sydney,no_candidate_found,https://www.mimecast.com/ | https://www.mimecast.com/contact/ | https://www.mimecast.com/contact-us/ | https://www.mimecast.com/locations/ | https://www.mimecast.com/support/,,Verify candidate text on the cited first-party page before geocoding.
Tablo Publishing,tablo.io,Melbourne,no_candidate_found,https://tablo.io/ | https://tablo.io/tablo-team/about | https://tablo.io/404.html | https://intercom.help/tablo/en/,,Verify candidate text on the cited first-party page before geocoding.
Geoscience Australia Digital,ga.gov.au,Canberra,no_candidate_found,https://www.ga.gov.au/ | https://www.ga.gov.au/contact | https://www.ga.gov.au/contact-us | https://www.ga.gov.au/locations | https://www.ga.gov.au/support,,Verify candidate text on the cited first-party page before geocoding.
DX Labs,dxlabs.com.au,Perth,address_candidate_needs_verification,https://dxlabs.com.au/ | https://dxlabs.com.au/contact | https://dxlabs.com.au/contact-us | https://dxlabs.com.au/locations | https://dxlabs.com.au/support,20 Bond Street Sydney NSW 2000,Verify candidate text on the cited first-party page before geocoding.
Fyfe,fyfe.com.au,Perth,no_candidate_found,https://fyfe.com.au/ | https://fyfe.com.au/contact/,,Verify candidate text on the cited first-party page before geocoding.
Powow,powow.com.au,Adelaide,address_candidate_needs_verification,https://powow.com.au/ | https://powow.com.au/contact | https://powow.com.au/contact-us | https://powow.com.au/locations | https://powow.com.au/support,"201 Coward Street, Mascot NSW 2020",Verify candidate text on the cited first-party page before geocoding.
Resi,resi.com.au,Brisbane,no_candidate_found,https://resi.com.au/ | https://resi.com.au/contact-us/ | https://resi.com.au/locations | https://resi.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Commusoft AU,commusoft.com,Sydney,no_candidate_found,https://www.commusoft.com/en-us/ | https://www.commusoft.com/en-us/contact/ | https://www.commusoft.com/en-us/contact-us/ | https://www.commusoft.com/en-us/locations/ | https://www.commusoft.com/en-us/support/,,Verify candidate text on the cited first-party page before geocoding.
Relectrify,relectrify.com,Melbourne,no_candidate_found,https://www.relectrify.com/au/ | https://www.relectrify.com/au/contact | https://www.relectrify.com/au/contact-us | https://www.relectrify.com/au/locations | https://www.relectrify.com/au/support,,Verify candidate text on the cited first-party page before geocoding.
Zeelo AU,zeelo.co,Sydney,no_candidate_found,https://zeelo.co/ | https://zeelo.co/support | https://zeelo.co/locations,,Verify candidate text on the cited first-party page before geocoding.
Skodel,skodel.com,Sydney,address_candidate_needs_verification,https://skodel.com/ | https://skodel.com/contact | https://skodel.com/contact-us | https://skodel.com/locations | https://skodel.com/support,"456 Health Ave, Melbourne VIC 3000",Verify candidate text on the cited first-party page before geocoding.
Meltwater AU,meltwater.com,Sydney,no_candidate_found,https://www.meltwater.com/en | https://www.meltwater.com/en/about/contact-us?redirected-path=/en/contact | https://www.meltwater.com/en/contact-us | https://www.meltwater.com/en/locations | https://www.meltwater.com/en/support,,Verify candidate text on the cited first-party page before geocoding.
Parbery,parbery.com.au,Canberra,address_candidate_needs_verification,https://www.parbery.com.au/ | https://www.parbery.com.au/contact | https://www.parbery.com.au/contact-us | https://www.parbery.com.au/locations | https://www.parbery.com.au/support,9/65 Tennant Street Fyshwick ACT 2609,Verify candidate text on the cited first-party page before geocoding.
Avanade AU,avanade.com,Sydney,no_candidate_found,https://www.avanade.com/en | https://www.avanade.com/en/contact | https://www.avanade.com/en/404-error?url=/en/contact-us | https://www.avanade.com/en/404-error?url=/en/locations | https://www.avanade.com/en/404-error?url=/en/support,,Verify candidate text on the cited first-party page before geocoding.
Assembly Label,assemblylabel.com,Melbourne,no_candidate_found,https://assemblylabel.com/ | https://assemblylabel.com/pages/contact-us | https://assemblylabel.com/contact-us | https://assemblylabel.com/locations | https://assemblylabel.com/support,,Verify candidate text on the cited first-party page before geocoding.
Modibodi,modibodi.com,Sydney,no_candidate_found,https://www.modibodi.com/ | https://www.modibodi.com/pages/contact-us | https://www.modibodi.com/contact-us | https://www.modibodi.com/locations | https://www.modibodi.com/support,,Verify candidate text on the cited first-party page before geocoding.
Blueshift AU,blueshift.com,Sydney,no_candidate_found,https://blueshift.com/ | https://blueshift.com/contact-us/ | https://blueshift.com/locations | https://help.blueshift.com/hc/en-us/articles/360008776414-Get-in-touch,,Verify candidate text on the cited first-party page before geocoding.
Yoti AU,yoti.com,Melbourne,no_candidate_found,https://www.yoti.com/ | https://www.yoti.com/contact/ | https://www.yoti.com/locations | https://www.yoti.com/support,,Verify candidate text on the cited first-party page before geocoding.
Brightflag AU,brightflag.com,Sydney,no_candidate_found,https://brightflag.com/ | https://brightflag.com/contact | https://brightflag.com/contact-us/ | https://brightflag.com/locations | https://brightflag.com/support,,Verify candidate text on the cited first-party page before geocoding.
Workgrid AU,workgrid.com,Sydney,no_candidate_found,https://www.workgrid.com/ | https://www.workgrid.com/contact | https://www.workgrid.com/contact-us | https://www.workgrid.com/locations | https://www.workgrid.com/support,,Verify candidate text on the cited first-party page before geocoding.
LeafLink AU,leaflink.com,Sydney,no_candidate_found,https://www.leaflink.com/ | https://app.leaflink.com/contact/ | https://www.leaflink.com/contact-us | https://app.leaflink.com/locations/ | https://app.leaflink.com/support/,,Verify candidate text on the cited first-party page before geocoding.
Dataro,dataro.io,Sydney,no_candidate_found,https://dataro.io/ | https://dataro.io/demo | https://dataro.io/contact-us | https://dataro.io/locations | https://dataro.io/support,,Verify candidate text on the cited first-party page before geocoding.
Pax8 AU,pax8.com,Sydney,no_candidate_found,https://www.pax8.com/en-au/ | https://www.pax8.com/en-au/contact/ | https://www.pax8.com/en-au/wp-content/uploads/sites/11/2021/07/Contact-Us.png | https://www.pax8.com/en-au/locations | https://www.pax8.com/en-au/support/,,Verify candidate text on the cited first-party page before geocoding.
Canary Technologies AU,canarytechnologies.com,Sydney,no_candidate_found,https://canarytechnologies.com/ | https://canarytechnologies.com/contact | https://resources.canarytechnologies.com/contact-canary-support.html | https://canarytechnologies.com/locations | https://canarytechnologies.com/support,,Verify candidate text on the cited first-party page before geocoding.
Nudge Education,nudge.com.au,Melbourne,address_candidate_needs_verification,https://www.nudge.com.au/ | https://www.nudge.com.au/contact/ | https://www.nudge.com.au/contact-us | https://www.nudge.com.au/locations | https://www.nudge.com.au/support,"1 Denison St, North Sydney, NSW",Verify candidate text on the cited first-party page before geocoding.
