name,domain,city,status,pages_checked,address_candidates,next_action
Campaign Monitor,campaignmonitor.com,Sydney,no_candidate_found,https://www.campaignmonitor.com/ | https://www.campaignmonitor.com/contact | https://www.campaignmonitor.com/contact-us | https://www.campaignmonitor.com/locations | https://www.campaignmonitor.com/support,,Verify candidate text on the cited first-party page before geocoding.
Fluent Commerce,fluentcommerce.com,Sydney,address_candidate_needs_verification,https://fluentcommerce.com/ | https://fluentcommerce.com/contact/ | https://fluentcommerce.com/locations | https://fluentcommerce.com/support,68 Harrington Street The Rocks NSW 2000,Verify candidate text on the cited first-party page before geocoding.
Spectur,spectur.com.au,Perth,address_candidate_needs_verification,https://spectur.com.au/ | https://spectur.com.au/contact/ | https://spectur.com.au/locations | https://spectur.atlassian.net/servicedesk/customer/user/login?destination=portals,"100 Prinsep Road, Jandakot WA 6164 | 12 Homepride Avenue, Warwick Farm NSW 2170 | 127 Fairbairn Road, Sunshine West VIC 3020 | 3/88 Redland Bay Road, Capalaba QLD 4157",Verify candidate text on the cited first-party page before geocoding.
Techboard,techboard.com.au,Perth,no_candidate_found,https://techboard.com.au/ | https://techboard.com.au/company-profile/contact-harald/ | https://techboard.com.au/about/contact-us/ | https://techboard.com.au/locations | https://techboard.com.au/company-profile/support-fusion/,,Verify candidate text on the cited first-party page before geocoding.
LocalAgentFinder,localagentfinder.com.au,Melbourne,address_candidate_needs_verification,https://www.localagentfinder.com.au/ | https://www.localagentfinder.com.au/contact-us | https://www.localagentfinder.com.au/locations | https://www.localagentfinder.com.au/support,14 Saint Kild Road St Kilda VIC,Verify candidate text on the cited first-party page before geocoding.
DXC Technology AU,dxc.com,Melbourne,no_candidate_found,https://dxc.com/ | https://dxc.com/contact | https://dxc.com/contact-dxc | https://dxc.com/locations | https://dxc.com/support,,Verify candidate text on the cited first-party page before geocoding.
Unison,unison.com.au,Melbourne,address_candidate_needs_verification,https://www.unison.au/ | https://www.unison.au/contact | https://www.unison.au/contact-us | https://www.unison.au/locations | https://www.unison.au/support/,8 Horsfall Street Templestowe Lower VIC 3107,Verify candidate text on the cited first-party page before geocoding.
Atmail,atmail.com,Noosa,no_candidate_found,https://www.atmail.com/ | https://www.atmail.com/contact | https://www.atmail.com/contact-us | https://www.atmail.com/locations | https://www.atmail.com/support,,Verify candidate text on the cited first-party page before geocoding.
LearnUpon AU,learnupon.com,Dublin,address_candidate_needs_verification,https://www.learnupon.com/ | https://www.learnupon.com/contact/ | https://www.learnupon.com/contact-us | https://www.learnupon.com/locations | https://www.learnupon.com/wp-content/uploads/support.png,"135 King Street, Sydney, NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Open Energy AU,openenergy.com.au,Adelaide,no_candidate_found,https://www.openenergy.com.au/ | https://www.openenergy.com.au/contact | https://www.openenergy.com.au/contact-us | https://www.openenergy.com.au/locations | https://www.openenergy.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
