domain,name,has_location_evidence,reachable,source_url,final_url,captured
greyinnovation.com,Grey Innovation,false,true,https://www.greyinnovation.com/,https://www.greyinnovation.com/,true
groundbreaker.co,Groundbreaker,false,true,https://connect.janover.co/,https://connect.janover.co/,true
haikudeck.com,Haiku Deck AU,false,true,https://haikudeck.com,https://haikudeck.com,true
halaxy.com,Halaxy,false,true,https://www.halaxy.com:443/,https://www.halaxy.com:443/,true
hatch.team,Hatch,false,true,https://hatch.team,https://hatch.team,true
honeyflow.com.au,Flow Hive Tech,false,true,https://www.honeyflow.com.au/,https://www.honeyflow.com.au/,true
humanitix.com,Humanitix,false,true,https://humanitix.com/au,https://humanitix.com/au,true
hydrix.com,Hydrix Group,false,true,https://hydrix.com,https://hydrix.com,true
hylo.com,Hylo,false,true,https://www.hylo.com/,https://www.hylo.com/,true
hyperanna.com,Hyper Anna,false,true,https://www.alteryx.com/,https://www.alteryx.com/,true
hypertune.com,Hypertune,false,true,https://www.hypertune.com/,https://www.hypertune.com/,true
inauro.com.au,Inauro,false,true,https://www.inauro.com.au/,https://www.inauro.com.au/,true
infotrack.com.au,InfoTrack,false,true,https://www.infotrack.com.au/,https://www.infotrack.com.au/,true
inovor.com.au,Inovor Technologies,false,true,https://www.inovor.com.au/,https://www.inovor.com.au/,true
instantscripts.com.au,InstantScripts,false,true,https://www.instantscripts.com.au/,https://www.instantscripts.com.au/,true
intelledox.com,Intelledox,false,true,https://www.smartcommunications.com/,https://www.smartcommunications.com/,true
intersective.com,Intersective,false,true,https://practera.com/,https://practera.com/,true
intopia.digital,Intopia,false,true,https://intopia.digital,https://intopia.digital,true
invetechgroup.com,Invetech Group,false,true,https://www.invetechgroup.com/,https://www.invetechgroup.com/,true
jaxsta.com,Jaxsta,false,true,https://jaxsta.com,https://jaxsta.com,true
jemena.com.au,Jemena,false,true,https://www.jemena.com.au/,https://www.jemena.com.au/,true
kablamo.com.au,Kablamo,false,true,https://www.kablamo.com.au/,https://www.kablamo.com.au/,true
kinexus.com.au,Kinexus,false,true,https://www.kinexus.com.au/,https://www.kinexus.com.au/,true
klayo.com,Klayo,false,true,https://klayo.com,https://klayo.com,true
koala.com,Koala Tech,false,true,https://au.koala.com/,https://au.koala.com/,true
koba.com.au,Koba Insurance,false,true,http://instantfwding.com/?dn=koba.com.au&pid=7PO2UM885,http://instantfwding.com/?dn=koba.com.au&pid=7PO2UM885,true
kurrajong.com.au,Kurrajong Tech,false,true,https://www.kurrajong.com.au/,,false
laingorourke.com,Laing O Rourke Digital,false,true,https://www.laingorourke.com/,https://www.laingorourke.com/,true
legalvision.com.au,Legalvision,false,true,https://legalvision.com.au,https://legalvision.com.au,true
limeade.com,Limeade AU,false,true,https://limeade.com,https://limeade.com,true
liminalbiosciences.com,Liminal BioSciences AU,false,true,https://liminalbiosciences.com,https://liminalbiosciences.com,true
longbowadvantage.com,Longbow Advantage,false,true,https://www.longbowadvantage.com/,https://www.longbowadvantage.com/,true
lumachain.com,Lumachain,false,true,https://lumachain.com,https://lumachain.com,true
macquarietelecom.com,Macquarie Telecom Cloud,false,true,https://www.macquarietelecom.com/,https://www.macquarietelecom.com/,true
marketplacer.com,Marketplacer,false,true,https://marketplacer.com,https://marketplacer.com,true
maynepharma.com,Mayne Pharma Tech,false,true,https://maynepharma.com,https://maynepharma.com,true
mealpal.com.au,Mealpal,false,true,https://mealpal.com/au/,https://mealpal.com/au/,true
midfield.com.au,Midfield Automation,false,true,https://midfield.com.au,https://midfield.com.au,true
mobisolutions.com.au,Mobi Solutions,false,true,https://www.mobisolutions.com.au/,https://www.mobisolutions.com.au/,true
monashivf.com,Monash IVF,false,true,https://monashivf.com,https://monashivf.com,true
montu.com.au,Montu,false,true,https://www.montu.com.au/,https://www.montu.com.au/,true
mosh.com.au,Mosh,false,true,https://mosh.com.au,https://mosh.com.au,true
moula.com.au,Moula Money,false,true,https://moula.com.au,https://moula.com.au,true
mountisaminerals.com.au,Mount Isa Mineral Sensors,false,true,https://www.mountisaminerals.com.au/,https://www.mountisaminerals.com.au/,true
murrayirrigation.com.au,Murray Irrigation Tech,false,true,https://www.murrayirrigation.com.au/,https://www.murrayirrigation.com.au/,true
mynd.ai,Mynd.ai,false,true,https://www.mynd.ai/,https://www.mynd.ai/,true
myriota.com,Myriota,false,true,https://myriota.com,https://myriota.com,true
neighbourlytics.com,Neighbourlytics,false,true,https://www.neighbourlytics.com/,https://www.neighbourlytics.com/,true
neumannspace.com,Neumann Space,false,true,https://neumannspace.com,https://neumannspace.com,true
nexgen.net.au,Nexgen,false,true,https://nexgen.net.au,https://nexgen.net.au,true
noeticgroup.com,Noetic Group Tech,false,true,https://atturra.com/au-en/solutions/advisory-consulting/,https://atturra.com/au-en/solutions/advisory-consulting/,true
notiv.com,Notiv,false,true,https://notiv.com,https://notiv.com,true
octaneai.com,Octane AI,false,true,https://octaneai.com,https://octaneai.com,true
octet.com.au,Octet,false,true,https://www.octet.com/,https://www.octet.com/,true
openpay.com.au,Openpay Tech,false,true,https://pay.com.au/,https://pay.com.au/,true
opensolar.com,OpenSolar,false,true,https://www.opensolar.com/,https://www.opensolar.com/,true
opmantek.com,Opmantek Software,false,true,https://firstwave.com/,https://firstwave.com/,true
opthea.com,Opthea,false,true,https://ceryvyn.com/,https://ceryvyn.com/,true
outpostcentral.com,Outpost Central,false,true,https://outpostcentral.com,https://outpostcentral.com,true
pairtree.com.au,Pairtree,false,true,https://pairtree.com.au,https://pairtree.com.au,true
partly.com,Partly,false,true,https://www.partly.com/,https://www.partly.com/,true
pathzero.com,Pathzero,false,true,https://pathzero.com,https://pathzero.com,true
pavefinance.com.au,Pave Finance,false,true,https://pavefinance.com.au,https://pavefinance.com.au,true
paxon.com.au,Paxon Group,false,true,https://paxon.com.au,https://paxon.com.au,true
paydock.com,Paydock,false,true,https://paydock.com,https://paydock.com,true
pepperstone.com,Pepperstone,false,true,https://pepperstone.com/en-au,https://pepperstone.com/en-au,true
planetinnovation.com.au,Planet Innovation,false,true,https://planetinnovation.com/,https://planetinnovation.com/,true
pocketed.com.au,Pocketed,false,true,https://pocketed.com.au,https://pocketed.com.au,true
pointerra.com,Pointerra,false,true,https://www.pointerra.com/,https://www.pointerra.com/,true
polynovo.com,Polynovo,false,true,https://polynovo.com,https://polynovo.com,true
portlincolnmarine.com.au,Port Lincoln Marine Tech,false,true,https://www.portlincolnmarine.com.au/,https://www.portlincolnmarine.com.au/,true
pozi.com,Pozi,false,true,https://pozi.com,https://pozi.com,true
precisionagriculture.com.au,Precision Agriculture Australia,false,true,https://precisionagriculture.com.au,https://precisionagriculture.com.au,true
preezie.com,Preezie,false,true,https://preezie.com,https://preezie.com,true
prezzee.com,Prezzee,false,true,https://prezzee.com/en-us,https://prezzee.com/en-us,true
procreate.com,Savage Interactive,false,true,https://procreate.com,https://procreate.com,true
procurious.com,Procurious,false,true,https://www.procurious.com/,https://www.procurious.com/,true
promedicus.com.au,Pro Medicus,false,true,https://www.promed.com.au/,https://www.promed.com.au/,true
pronavigator.ai,ProNavigator,false,true,https://www.guidewire.com:443/products/technology/insurance-ai-from-guidewire/pronavigator,https://www.guidewire.com:443/products/technology/insurance-ai-from-guidewire/pronavigator,true
proqual.com.au,Proqual,false,true,https://proqual.com.au,https://proqual.com.au,true
quantium.com.au,Quantium,false,true,https://quantium.com/,https://quantium.com/,true
quantxlabs.com,QuantX Labs,false,true,https://quantxlabs.com,https://quantxlabs.com,true
rayner.com.au,Rayner,false,true,https://www.rayner.com.au/,https://www.rayner.com.au/,true
resmed.com,ResMed Digital,false,true,https://www.resmed.com.au/,https://www.resmed.com.au/,true
rosterfy.com,Rosterfy,false,true,https://www.rosterfy.com:443/,https://www.rosterfy.com:443/,true
saab.com,Saab Australia Digital,false,true,https://www.saab.com/,https://www.saab.com/,true
samsara.com,Samsara Networks AU,false,true,https://www.samsara.com/,https://www.samsara.com/,true
scalapay.com,Scalapay,false,true,https://www.scalapay.com/,https://www.scalapay.com/,true
scancam.com.au,Scancam,false,true,https://sensen.ai/fuel-theft-prevention/,https://sensen.ai/fuel-theft-prevention/,true
seerdata.com.au,Seer Data,false,true,https://seerdata.ai:443/,https://seerdata.ai:443/,true
seqta.com.au,SEQTA Software,false,true,https://www.tes.com/en-au/for-schools/seqta,https://www.tes.com/en-au/for-schools/seqta,true
sherlok.com.au,Sherlok,false,true,https://www.sherlok.com.au/,https://www.sherlok.com.au/,true
silentiumdefence.com.au,Silentium Defence,false,true,https://www.silentiumdefence.com.au/,https://www.silentiumdefence.com.au/,true
skoolbag.com.au,Skoolbag,false,true,https://audiri.com.au/,https://audiri.com.au/,true
smartsatcrc.com,SmartSat CRC,false,true,https://smartsatcrc.com,https://smartsatcrc.com,true
spendless.com.au,Spendless,false,true,https://www.spendless.com.au/,https://www.spendless.com.au/,true
splend.com.au,Splend Tech,false,true,https://www.splend.com/,https://www.splend.com/,true
sportsbet.com.au,Sportsbet Tech,false,true,https://www.sportsbet.com.au/,https://www.sportsbet.com.au/,true
starofthesouth.com.au,Star of the South Telemetry,false,true,https://southerlyten.com.au/project/star-of-the-south/,https://southerlyten.com.au/project/star-of-the-south/,true
stax.io,Stax,false,true,https://versent.com.au/modern-run/versent-landing-zone/,https://versent.com.au/modern-run/versent-landing-zone/,true
stileeducation.com,Stile Education,false,true,https://stileeducation.com/au/index.html,https://stileeducation.com/au/index.html,true
strikingly.com,Strikingly,false,true,https://www.strikingly.com/,https://www.strikingly.com/,true
telnyx.com,Telnyx,false,true,https://telnyx.com,https://telnyx.com,true
tether.io,Tether,false,true,https://tether.io,https://tether.io,true
tillpoint.com,Tillpoint,false,true,https://www.tillpoint.com/,https://www.tillpoint.com/,true
tillr.io,Tillr,false,true,https://tillr.io,https://tillr.io,true
timelio.com.au,Timelio,false,true,https://timelio.com.au,https://timelio.com.au,true
tractorventures.com,Tractor Ventures,false,true,https://www.tractorventures.com/,https://www.tractorventures.com/,true
tradesquare.com.au,TradeSquare,false,true,https://www.tradesquare.com.au/,https://www.tradesquare.com.au/,true
updraft.com.au,Updraft,false,true,https://updraft.com.au,https://updraft.com.au,true
vantage-dc.com,Vantage Data Centres,false,true,https://vantage-dc.com,https://vantage-dc.com,true
vapar.co,VAPAR,false,true,https://www.vapar.co/,https://www.vapar.co/,true
venly.io,Venly,false,true,https://www.venly.io/,https://www.venly.io/,true
venngroup.com,Venn Group AU,false,true,https://www.venngroup.com/,https://www.venngroup.com/,true
versent.com.au,Versent,false,true,https://versent.com.au,https://versent.com.au,true
vixtechnology.com,Vix Technology,false,true,https://vixtechnology.com,https://vixtechnology.com,true
vocus.com.au,Vocus Group,false,true,https://www.vocus.com.au/,https://www.vocus.com.au/,true
weel.com.au,Weel,false,true,https://letsweel.com/,https://letsweel.com/,true
whogivesacrap.org,Who Gives A Crap,false,true,https://au.whogivesacrap.org/,https://au.whogivesacrap.org/,true
willowinc.com,Willow Technology,false,true,https://willowinc.com,https://willowinc.com,true
xref.com,Xref,false,true,https://www.xref.com/,https://www.xref.com/,true
yarno.com.au,Yarno,false,true,https://www.yarno.com.au/,https://www.yarno.com.au/,true
zerolatencyvr.com,Zero Latency VR,false,true,https://zerolatencyvr.com,https://zerolatencyvr.com,true
zutec.com,Zutec AU,false,true,https://zutec.com,https://zutec.com,true
